section	name	price	rarity
House	Student Piano	900	22
House	Phone	600	75
House	TV	1200	68
House	Grand Piano	8500	5
House	PC	1500	60
House	Lamp	40	92
House	Bed Frame	300	70
House	Bed	500	73
House	Couch	900	58
House	Shelf	120	85
House	Kitchen Table	450	64
House	Kitchen Sink	380	55
House	Toilet	250	72
House	Laptop	1100	67
House	Desk	220	81
House	Refrigerator	1800	48
House	Webcam	90	88
House	AC Unit	2000	40
House	Boombox	150	52
House	VR Rig	2500	20
House	Drawer	160	83
House	Wardrobe	650	50
House	Pan Set	80	91
House	Cooktop	900	45
House	Oven	1100	38
House	Monitor	300	76
House	Sofa	950	57
House	Mat	25	99
House	Ladder	70	89
House	Plant Pot	18	97
House	Kitchen Counter	1200	44
House	Massage Chair	2600	12
House	Ofuro	3500	9
House	Japanese Bidet	700	34
House	Mirror	90	93
House	Ball Pit	250	28
House	Trampulin	400	30
House	Leg Press Machine	1400	17
House	Pinball Machine	5000	7
House	TV Rack	140	82
House	Minibar	350	63
House	Dressing Table	280	74
House	TTRPG Table	600	29
House	Board Game Table	850	26
House	Bean Bag	120	87
House	Chandelier	750	15
House	Garden Table	200	66
House	Garden Chair	60	94
House	Jacuzzi	4800	6
House	Christmas Tree	130	79
House	Self-image Statue	3000	8
House	Astronomy Telescope	900	23
House	Stretch	30	96
House	Decorative Jar	45	95
House	Another Famous Book Collection	500	19
House	Famous Book Collection	650	14
House	DSLR Camera	900	33
House	Mirrorless Camera	1100	31
House	Kitchen Knife	25	90
House	Sharp Knife	40	86
House	Knife Sharpner	18	98
House	Pickaxe	55	84
House	Sword	180	49
House	Linder Surprise Egg	600	6
House	Hose	30	92
House	Hoe	30	92
House	Personal Mime	1500	11
House	Personal Jester	1400	13
House	Personal Chef	3000	4
House	Personal Clown	1200	16
House	Medieval Beer Mug	60	78
House	Antenna	90	88
House	MRI Machine	250000	1
House	Personal Doctor	8000	3
House	Blood Boy	2000	10
House	3D Printer	700	47
House	Planner	15	99
House	Deodorant	7	100
House	Tool Box	80	89
House	Living Room Table	350	65
House	Ceramic Kiln	2700	9
House	Pizza Oven	1800	21
House	Reclining Chair	500	59
Travel	Roof Cargo Box	180	62
Travel	Portable Tire Inflator	65	78
Travel	Car Air Mattress	95	73
Travel	Anti-Glare Sun Visor	20	90
Travel	Portable Jump Starter	120	55
Travel	Backseat Organizer	25	96
Travel	Car Fridge Mini	140	48
Travel	Dash Camera Pro	110	52
Travel	GPS Navigator Lite	80	68
Travel	Seat Cooler Pad	45	87
Travel	Steering Wheel Lock	35	92
Travel	Rain-Repellent Spray	10	99
Travel	Emergency Road Kit	50	83
Travel	Fuel Canister	22	95
Travel	Car Vacuum Turbo	40	88
Travel	Bluetooth FM Transmitter	18	98
Travel	Phone Holder Magnetic	12	100
Travel	Portable Booster Battery	130	44
Travel	Trunk Storage Net	15	97
